cz_name,cz_dates,viaf_id,nkc_id,birth,death,debut,firsttrans,langdict
"Schmidtová, Eva",1940-1999,15312211,jk01111011,1940,1999,1969,,
"Schulhof, Stanislav",1864-1919,38025012,hka0076848,1864,1919,1908,,
"Schulz, Karel",1899-1943,39534016,jk01111165,1899,1943,1922,,
"Šebek, Karel",1941-1995,77995718,jk01122590,1941,1995,1996,,
"Sedláček, Květoslav František",1911-1971,34972604,jk01110515,1911,1971,1943,,
"Sehnal, Miroslav",1953-,10258879,jn99240001065,1953,,1990,,
"Seifert, Jaroslav",1901-1986,12317734,jk01110657,1901,1986,1921,,
"Seifertová, Lucie",1969-,26567432,jo2003193350,1969,,1999,,
"Sekera, Josef",1897-1972,25119404,jk01110699,1897,1972,1927,,
"Sekora, Ondřej",1899-1967,79535702,jk01110710,1899,1967,1920,,
"Semrád, Vladimír",1923-1980,83892128,jk01110764,1923,1980,1953,,
"Šerých, Jiří",1934-,30723793,jk01122784,1934,,1966,,
"Sidon, Karol Efraim",1942-,83170223,jk01111263,1942,,1965,,
"Sikora, Roman",1970-,84210387,js20020122046,1970,,2016,,
"Šiktanc, Karel",1928-,36975712,jk01122896,1928,,1951,,
"Sílová, Bohumila",1908-1957,83895869,jk01111312,1908,1957,1933,,
"Šimáček, Matěj Anastázia",1860-1913,56167367,jk01122966,1860,1913,1885,,
"Šimková, Markéta",1977-,80990902,jo2003181549,1977,,0,,
"Šindelka, Marek",1984-,216349781,xx0037321,1984,,2005,,
"Sirovátka, Oldřich",1925-1992,56643944,jk01111353,1925,1992,1946,,
"Skácel, Jan",1922-1989,115824377,jk01111393,1922,1989,1955,,
"Skácelík, František",1873-1944,60507588,jk01111404,1873,1944,1910,,
"Skála, František",1956-,9971560,jn20000710529,1956,,1989,,
"Skala, Martina",1958-,46978142,xx0003703,1958,,2002,,
"Skála, Miroslav",1924-1989,5732400,jk01111431,1924,1989,1961,,
"Šklíbová, Hana",1897-1987,83922772,jk01130302,1897,1987,1930,,
"Skorunka, František",1944-,13623447,jk01111580,1944,,1975,,
"Skupa, Josef",1892-1957,5786718,jk01111665,1892,1957,1922,,
"Škutina, Vladimír",1931-1995,66876576,jk01130395,1931,1995,1953,,
"Škvorecký, Josef",1924-2012,83176668,jk01130413,1924,2012,1958,,
"Slabý, Zdeněk Karel",1930-,119485070,jk01111713,1930,,1960,,
"Slach, Miroslav",1919-2001,27476421,jk01111766,1919,2001,1947,,
"Sládek, Josef Václav",1845-1912,40174607,jk01111743,1845,1912,1864,,
"Šlechta, Vladimír",1960-,2175453,xx0000828,1960,,1999,,
"Šlejhar, Josef Karel",1864-1914,62971865,jk01130467,1864,1914,1889,,
"Šmahelová, Helena",1910-1997,74261546,jk01130497,1910,1997,1940,,
"Šmalec, Petr",1974-,306140790,jo2003181550,1974,,2005,,
"Šmaus, Martin",1965-,29277961,xx0036231,1965,,2005,,
"Smetanová, Jindřiška",1923-2012,116018299,jk01120075,1923,2012,1959,,
"Šmíd, Jan",1921-2002,88123331,jk01130562,1921,2002,1972,,
"Šmilovský, Alois Vojtěch",1837-1883,295593657,jk01130612,1837,1883,1865,,
"Smolík, Milan",1926-,83900934,jk01120123,1926,,1955,,
"Sobotka, Jan",1944-,6264147967366884200002,jn99240001102,1944,,1988,,
"Sobotka, Richard",1935-,117975899,jk01120270,1935,,1979,,
"Sojka, Jan",1973-,2276663,xx0018992,1973,,2006,,
"Sokolová-Seidlová, Vilma",1859-1941,83902532,jk01120364,1859,1941,1889,,
"Šolléová, Marie",1936-,85887640,xx0088303,1936,,1978,,
"Šoltész, Pavel",1927-1993,11499493,jk01130739,1927,1993,1954,,
"Šotola, Jiří",1924-1989,114445008,jk01130767,1924,1989,1946,,
